   111 -0.106600 0.046400 -0.060400 -0.030161 0.008956 -0.999505 -0.192234 -0.981345 -0.003064 -0.980886 0.192046 0.031319 1.002568
   112 -0.106600 0.046400 -0.060400 -0.192237 -0.981343 -0.003176 0.030139 -0.009065 0.999505 -0.980886 0.192046 0.031319 -0.001472
   113 -0.106600 0.046400 -0.060400 -0.030139 0.009065 -0.999505 -0.192237 -0.981343 -0.003176 -0.980886 0.192046 0.031319 -0.000608
   121 -0.102000 0.063100 -0.025600 -0.006081 0.006510 -0.999960 -0.263186 -0.964734 -0.004689 -0.964726 0.263147 0.007580 1.005016
   122 -0.102000 0.063100 -0.025600 -0.006039 0.006665 -0.999960 -0.263187 -0.964733 -0.004850 -0.964726 0.263147 0.007580 -0.000922
   123 -0.102000 0.063100 -0.025600 -0.263187 -0.964733 -0.004850 0.006039 -0.006665 0.999960 -0.964726 0.263147 0.007580 -0.001639
   131 -0.108500 0.030200 -0.026600 0.001240 0.002503 -0.999996 -0.091305 -0.995820 -0.002568 -0.995822 0.091307 -0.001006 0.998641
   132 -0.108500 0.030200 -0.026600 0.001233 0.002428 -0.999996 -0.091305 -0.995820 -0.002493 -0.995822 0.091307 -0.001006 -0.001732
   133 -0.108500 0.030200 -0.026600 -0.091305 -0.995820 -0.002493 -0.001233 -0.002428 0.999996 -0.995822 0.091307 -0.001006 -0.003591
   141 -0.109900 0.013100 -0.062700 -0.054233 0.003219 -0.998523 -0.036123 -0.999347 -0.001321 -0.997875 0.035998 0.054314 0.999061
   142 -0.109900 0.013100 -0.062700 -0.036111 -0.999347 -0.001102 0.054241 -0.003000 0.998523 -0.997875 0.035998 0.054314 -0.003115
   143 -0.109900 0.013100 -0.062700 -0.054241 0.003000 -0.998523 -0.036111 -0.999347 -0.001102 -0.997875 0.035998 0.054314 -0.000902
   211 -0.107400 0.032900 0.008000 -0.059803 0.008561 -0.998173 -0.093690 -0.995597 -0.002959 -0.993804 0.093342 0.060342 1.000963
